study,model,seed,partition,threshold,net_benefit_model,net_benefit_all,net_benefit_none
RADCURE,B2,71,oof,0.45,-0.00256488086144656,-0.4406556199472853,0.0
RADCURE,B2,71,oof,0.5,-5.508393839143144e-06,-0.584721181942014,0.0
RADCURE,B2,71,calibration,0.05,0.16303996669974766,0.16299594076076102,0.0
RADCURE,B2,71,calibration,0.1,0.12210818851602931,0.11649571524746996,0.0
RADCURE,B2,71,calibration,0.15,0.10752296567790642,0.06452487496790937,0.0
RADCURE,B2,71,calibration,0.2,0.07916667942917077,0.0060576796534037025,0.0
RADCURE,B2,71,calibration,0.25,0.057164255332153815,-0.060205141703036036,0.0
RADCURE,B2,71,calibration,0.3,0.02965261206938414,-0.1359340803961101,0.0
RADCURE,B2,71,calibration,0.35,0.023086991361381,-0.22331362504196467,0.0
RADCURE,B2,71,calibration,0.4,0.012096529973822372,-0.32525642712879516,0.0
RADCURE,B2,71,calibration,0.45,0.014409735312919909,-0.4457342841405037,0.0
RADCURE,B2,71,calibration,0.5,0.00991276775908449,-0.5903077125545542,0.0
RADCURE,B2,101,oof,0.05,0.1660233382842498,0.165936220030519,0.0
RADCURE,B2,101,oof,0.1,0.12492308713429663,0.11959934336554782,0.0
RADCURE,B2,101,oof,0.15,0.10100026280249386,0.06781106944587417,0.0
RADCURE,B2,101,oof,0.2,0.08453140058762729,0.009549261286241312,0.0
RADCURE,B2,101,oof,0.25,0.061971707187925024,-0.056480787961342566,0.0
RADCURE,B2,101,oof,0.3,0.027703709300243552,-0.1319437013871528,0.0
RADCURE,B2,101,oof,0.35,0.01415154641356527,-0.21901629380154916,0.0
RADCURE,B2,101,oof,0.4,0.002168064168799645,-0.3206009849516783,0.0
RADCURE,B2,101,oof,0.45,-0.0030125119340541308,-0.4406556199472853,0.0
RADCURE,B2,101,oof,0.5,-0.0008340620551679986,-0.584721181942014,0.0
RADCURE,B2,101,calibration,0.05,0.16303996669974766,0.16299594076076102,0.0
RADCURE,B2,101,calibration,0.1,0.12210818851602931,0.11649571524746996,0.0
RADCURE,B2,101,calibration,0.15,0.10752296567790642,0.06452487496790937,0.0
RADCURE,B2,101,calibration,0.2,0.07916667942917077,0.0060576796534037025,0.0
RADCURE,B2,101,calibration,0.25,0.057164255332153815,-0.060205141703036036,0.0
RADCURE,B2,101,calibration,0.3,0.02965261206938414,-0.1359340803961101,0.0
RADCURE,B2,101,calibration,0.35,0.023086991361381,-0.22331362504196467,0.0
RADCURE,B2,101,calibration,0.4,0.012096529973822372,-0.32525642712879516,0.0
RADCURE,B2,101,calibration,0.45,0.014409735312919909,-0.4457342841405037,0.0
RADCURE,B2,101,calibration,0.5,0.00991276775908449,-0.5903077125545542,0.0
RADCURE,B3,17,oof,0.05,0.16884697565210816,0.165936220030519,0.0
RADCURE,B3,17,oof,0.1,0.14014816309821726,0.11959934336554782,0.0
RADCURE,B3,17,oof,0.15,0.12026374487677688,0.06781106944587417,0.0
RADCURE,B3,17,oof,0.2,0.09914896094789065,0.009549261286241312,0.0
RADCURE,B3,17,oof,0.25,0.07814217086413386,-0.056480787961342566,0.0
RADCURE,B3,17,oof,0.3,0.058403602562683635,-0.1319437013871528,0.0
RADCURE,B3,17,oof,0.35,0.03270251795796844,-0.21901629380154916,0.0
RADCURE,B3,17,oof,0.4,0.01892040399556787,-0.3206009849516783,0.0
RADCURE,B3,17,oof,0.45,0.007332499091210627,-0.4406556199472853,0.0
RADCURE,B3,17,oof,0.5,0.0032958289620254964,-0.584721181942014,0.0
RADCURE,B3,17,calibration,0.05,0.16339178832621742,0.16299594076076102,0.0
RADCURE,B3,17,calibration,0.1,0.13718894565846396,0.11649571524746996,0.0
RADCURE,B3,17,calibration,0.15,0.11122542943342344,0.06452487496790937,0.0
RADCURE,B3,17,calibration,0.2,0.09402529987127832,0.0060576796534037025,0.0
RADCURE,B3,17,calibration,0.25,0.07808045618040016,-0.060205141703036036,0.0
RADCURE,B3,17,calibration,0.3,0.0697757154899721,-0.1359340803961101,0.0
RADCURE,B3,17,calibration,0.35,0.017728658053855244,-0.22331362504196467,0.0
RADCURE,B3,17,calibration,0.4,0.01428735460261697,-0.32525642712879516,0.0
RADCURE,B3,17,calibration,0.45,0.01051108651950055,-0.4457342841405037,0.0
RADCURE,B3,17,calibration,0.5,0.006612437726081192,-0.5903077125545542,0.0
RADCURE,B3,29,oof,0.05,0.1687600945023279,0.165936220030519,0.0
RADCURE,B3,29,oof,0.1,0.14060437684441257,0.11959934336554782,0.0
RADCURE,B3,29,oof,0.15,0.11803286025304517,0.06781106944587417,0.0
RADCURE,B3,29,oof,0.2,0.0964667510419835,0.009549261286241312,0.0
RADCURE,B3,29,oof,0.25,0.07979311122550509,-0.056480787961342566,0.0
RADCURE,B3,29,oof,0.3,0.05863112362346079,-0.1319437013871528,0.0
RADCURE,B3,29,oof,0.35,0.03688943431154921,-0.21901629380154916,0.0
RADCURE,B3,29,oof,0.4,0.013976770332575585,-0.3206009849516783,0.0
RADCURE,B3,29,oof,0.45,0.008304707638224225,-0.4406556199472853,0.0
RADCURE,B3,29,oof,0.5,0.004117970068509556,-0.584721181942014,0.0
RADCURE,B3,29,calibration,0.05,0.1595629922503896,0.16299594076076102,0.0
RADCURE,B3,29,calibration,0.1,0.1349918341857892,0.11649571524746996,0.0
RADCURE,B3,29,calibration,0.15,0.11026132693993934,0.06452487496790937,0.0
RADCURE,B3,29,calibration,0.2,0.09734084438230116,0.0060576796534037025,0.0
RADCURE,B3,29,calibration,0.25,0.07697134879003434,-0.060205141703036036,0.0
RADCURE,B3,29,calibration,0.3,0.05845041269764538,-0.1359340803961101,0.0
RADCURE,B3,29,calibration,0.35,0.01594938579002904,-0.22331362504196467,0.0
RADCURE,B3,29,calibration,0.4,0.009887242827230107,-0.32525642712879516,0.0
RADCURE,B3,29,calibration,0.45,0.005095286314251478,-0.4457342841405037,0.0
RADCURE,B3,29,calibration,0.5,0.006612437726081192,-0.5903077125545542,0.0
RADCURE,B3,43,oof,0.05,0.16841256990320688,0.165936220030519,0.0
RADCURE,B3,43,oof,0.1,0.13913851933166393,0.11959934336554782,0.0
