candidate,beta,alpha,seed,outer_fold,fit_ipcw_brier,effective_slope
fixed_beta_1.025,1.025,0.16164719513737127,43,3,0.1329211387816537,1.025
fixed_beta_0.800,0.8,-0.2259244539007969,43,4,0.11767164558671744,0.8
fixed_beta_0.825,0.825,-0.18861993819477896,43,4,0.11749792608308031,0.825
fixed_beta_0.850,0.85,-0.1517008286141237,43,4,0.1173378479288491,0.85
fixed_beta_0.875,0.875,-0.11515362890977104,43,4,0.11719121641591773,0.875
fixed_beta_0.900,0.9,-0.0789651462792311,43,4,0.11705781450789002,0.9
fixed_beta_0.925,0.925,-0.043122659410679304,43,4,0.11693740500829289,0.925
fixed_beta_0.950,0.95,-0.0076137071362776965,43,4,0.11682973268889814,0.95
fixed_beta_0.975,0.975,0.027573712169787146,43,4,0.11673452636292964,0.975
fixed_beta_1.000,1.0,0.06245122851094218,43,4,0.11665150089033043,1.0
fixed_beta_1.025,1.025,0.09703005182108648,43,4,0.11658035910454677,1.025
fixed_beta_0.800,0.8,-0.31400762843463853,71,0,0.12459740881104543,0.8
fixed_beta_0.825,0.825,-0.27807532449143524,71,0,0.12462822234254332,0.825
fixed_beta_0.850,0.85,-0.24246839923265082,71,0,0.12466782612336395,0.85
fixed_beta_0.875,0.875,-0.20718449661044203,71,0,0.12471581237933295,0.875
fixed_beta_0.900,0.9,-0.1722218585251247,71,0,0.12477179031001412,0.9
fixed_beta_0.925,0.925,-0.13757911405994572,71,0,0.124835387124504,0.925
fixed_beta_0.950,0.95,-0.10325520966897336,71,0,0.12490624856582014,0.95
fixed_beta_0.975,0.975,-0.06924934454700245,71,0,0.12498403899646776,0.975
fixed_beta_1.000,1.0,-0.03556069782848035,71,0,0.1250684411190756,1.0
fixed_beta_1.025,1.025,-0.0021884928019037272,71,0,0.12515915540420494,1.025
fixed_beta_0.800,0.8,-0.2683214869410172,71,1,0.11754546930665974,0.8
fixed_beta_0.825,0.825,-0.23028618115331936,71,1,0.11746049709486656,0.825
fixed_beta_0.850,0.85,-0.19261796569059111,71,1,0.11738634743712116,0.85
fixed_beta_0.875,0.875,-0.15530881278392406,71,1,0.11732277752431777,0.875
fixed_beta_0.900,0.9,-0.11835124651976786,71,1,0.11726953712190313,0.9
fixed_beta_0.925,0.925,-0.08173827961108536,71,1,0.11722637036718975,0.925
fixed_beta_0.950,0.95,-0.045463411425476725,71,1,0.11719301737877004,0.95
fixed_beta_0.975,0.975,-0.009520502966600343,71,1,0.11716921567935387,0.975
fixed_beta_1.000,1.0,0.026096177695700325,71,1,0.11715470143751869,1.0
fixed_beta_1.025,1.025,0.0613920372224751,71,1,0.11714921053723297,1.025
fixed_beta_0.800,0.8,-0.18535210920009007,71,2,0.13181720016647222,0.8
fixed_beta_0.825,0.825,-0.14721614733361657,71,2,0.13186205041824636,0.825
fixed_beta_0.850,0.85,-0.109360447059071,71,2,0.13191676894906357,0.85
fixed_beta_0.875,0.875,-0.07178277591856974,71,2,0.131980916888243,0.875
fixed_beta_0.900,0.9,-0.034481382345767385,71,2,0.13205407604777544,0.9
fixed_beta_0.925,0.925,0.0025452408847795407,71,2,0.13213584934190606,0.925
fixed_beta_0.950,0.95,0.03929845844098657,71,2,0.13222586071349238,0.95
fixed_beta_0.975,0.975,0.07577960495671052,71,2,0.13232375465686044,0.975
fixed_beta_1.000,1.0,0.11199005066736474,71,2,0.1324291954236038,1.0
fixed_beta_1.025,1.025,0.1479313429218439,71,2,0.1325418659917161,1.025
fixed_beta_0.800,0.8,-0.27913846205282145,71,3,0.1227447995065471,0.8
fixed_beta_0.825,0.825,-0.24236979979643208,71,3,0.12270011998755233,0.825
fixed_beta_0.850,0.85,-0.2059311176469992,71,3,0.12266497022883711,0.85
fixed_beta_0.875,0.875,-0.16981952551171642,71,3,0.12263898158022492,0.875
fixed_beta_0.900,0.9,-0.13403274002891805,71,3,0.12262179917604957,0.9
fixed_beta_0.925,0.925,-0.09856881036927298,71,3,0.12261308288781791,0.925
fixed_beta_0.950,0.95,-0.06342595906471102,71,3,0.12261250778256118,0.95
fixed_beta_0.975,0.975,-0.028602522391764217,71,3,0.12261976416453298,0.975
fixed_beta_1.000,1.0,0.005903159551846743,71,3,0.12263455727757644,1.0
fixed_beta_1.025,1.025,0.040092811738736966,71,3,0.1226566067421209,1.025
fixed_beta_0.800,0.8,-0.21577288617276055,71,4,0.12856585153012592,0.8
fixed_beta_0.825,0.825,-0.17879804548248365,71,4,0.1284896137595304,0.825
fixed_beta_0.850,0.85,-0.1421743271324914,71,4,0.12842268956119857,0.85
fixed_beta_0.875,0.875,-0.10589913984357019,71,4,0.1283648355697483,0.875
fixed_beta_0.900,0.9,-0.0699698761297361,71,4,0.12831581791996213,0.9
fixed_beta_0.925,0.925,-0.03438400026069893,71,4,0.12827541202017215,0.925
fixed_beta_0.950,0.95,0.0008613152413323666,71,4,0.1282434020452645,0.95
fixed_beta_0.975,0.975,0.03576899083449458,71,4,0.12821958022613722,0.975
fixed_beta_1.000,1.0,0.07034217656523599,71,4,0.1282037460052369,1.0
fixed_beta_1.025,1.025,0.10458414656791087,71,4,0.12819570511890252,1.025
fixed_beta_0.800,0.8,-0.3368798803071315,101,0,0.12743676185199168,0.8
fixed_beta_0.825,0.825,-0.3015283576040289,101,0,0.12747306814996603,0.825
fixed_beta_0.850,0.85,-0.2664636631664758,101,0,0.12751800904866617,0.85
fixed_beta_0.875,0.875,-0.23168653587903612,101,0,0.12757120461205965,0.875
fixed_beta_0.900,0.9,-0.1971982760081584,101,0,0.12763229409137705,0.9
fixed_beta_0.925,0.925,-0.1630006633253184,101,0,0.12770093687622505,0.925
fixed_beta_0.950,0.95,-0.12909569116946729,101,0,0.12777681280601907,0.95
fixed_beta_0.975,0.975,-0.09548551031659198,101,0,0.1278596219342322,0.975
fixed_beta_1.000,1.0,-0.06217205870862579,101,0,0.12794908384244835,1.0
fixed_beta_1.025,1.025,-0.029157324411879387,101,0,0.12804493660085842,1.025
fixed_beta_0.800,0.8,-0.2811043209794084,101,1,0.12995471893307228,0.8
fixed_beta_0.825,0.825,-0.24390848453355363,101,1,0.13001340854600282,0.825
fixed_beta_0.850,0.85,-0.20696314205415078,101,1,0.13008000158346814,0.85
fixed_beta_0.875,0.875,-0.1702698259677131,101,1,0.13015411477693356,0.875
fixed_beta_0.900,0.9,-0.13383063297965345,101,1,0.13023538936585624,0.9
fixed_beta_0.925,0.925,-0.09764794095719743,101,1,0.13032349155318526,0.925
fixed_beta_0.950,0.95,-0.06172416487452933,101,1,0.13041811228615544,0.95
fixed_beta_0.975,0.975,-0.026061696271202764,101,1,0.13051896647397143,0.975
fixed_beta_1.000,1.0,0.009337374699269483,101,1,0.13062579175645708,1.0
fixed_beta_1.025,1.025,0.04447125843333031,101,1,0.13073834693482272,1.025
fixed_beta_0.800,0.8,-0.25733286181821086,101,2,0.12809861694935568,0.8
fixed_beta_0.825,0.825,-0.21993987594193373,101,2,0.1280888669081277,0.825
fixed_beta_0.850,0.85,-0.1828960964134867,101,2,0.12808861967743387,0.85
fixed_beta_0.875,0.875,-0.1461958211630119,101,2,0.12809774978302826,0.875
fixed_beta_0.900,0.9,-0.10983350256502089,101,2,0.1281161194366526,0.9
fixed_beta_0.925,0.925,-0.07380363684798887,101,2,0.12814357935270765,0.925
fixed_beta_0.950,0.95,-0.03810089151716755,101,2,0.1281799695795106,0.95
fixed_beta_0.975,0.975,-0.0027200655162170225,101,2,0.12822512033810213,0.975
fixed_beta_1.000,1.0,0.03234391253624056,101,2,0.12827885286204885,1.0
fixed_beta_1.025,1.025,0.06709593263921773,101,2,0.12834098023222315,1.025
fixed_beta_0.800,0.8,-0.3825128254873989,101,3,0.12114761788238276,0.8
fixed_beta_0.825,0.825,-0.3480429718478645,101,3,0.12114228462034375,0.825
fixed_beta_0.850,0.85,-0.31390428588045594,101,3,0.1211456640517214,0.85
fixed_beta_0.875,0.875,-0.28009551375274255,101,3,0.12115734851043061,0.875
fixed_beta_0.900,0.9,-0.2466159934101991,101,3,0.12117694841077689,0.9
fixed_beta_0.925,0.925,-0.21346571338964096,101,3,0.12120409359701356,0.925
fixed_beta_0.950,0.95,-0.18064477025629486,101,3,0.12123843404623166,0.95
fixed_beta_0.975,0.975,-0.14815360955473872,101,3,0.12127964000995428,0.975
fixed_beta_1.000,1.0,-0.11599258215495212,101,3,0.12132740168509527,1.0
fixed_beta_1.025,1.025,-0.08416190784954983,101,3,0.1213814285056304,1.025
fixed_beta_0.800,0.8,-0.2513601599654291,101,4,0.12552532468338223,0.8
fixed_beta_0.825,0.825,-0.21319371154733455,101,4,0.1254259103751139,0.825
fixed_beta_0.850,0.85,-0.17527438264435363,101,4,0.12533436155102318,0.85
fixed_beta_0.875,0.875,-0.13760252936833686,101,4,0.12525038330192786,0.875
fixed_beta_0.900,0.9,-0.1001787262541538,101,4,0.12517370226748264,0.9
fixed_beta_0.925,0.925,-0.0630038912134058,101,4,0.1251040668944938,0.925
fixed_beta_0.950,0.95,-0.026078604265671622,101,4,0.12504124704463723,0.95
fixed_beta_0.975,0.975,0.010596602269747873,101,4,0.12498503307046199,0.975
fixed_beta_1.000,1.0,0.047021475514096765,101,4,0.1249352344784987,1.0
fixed_beta_1.025,1.025,0.08319618957972964,101,4,0.12489167829290589,1.025
