candidate,beta,alpha,fit_ipcw_brier,seed,outer_fold,rank_preserved,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,abs_citl_error_deterioration,calibration_slope_raw,calibration_slope_candidate,abs_slope_error_deterioration,n_evaluable,events_evaluable
fixed_beta_0.850,0.85,-0.2192094502164643,0.13592537256941492,29,4,True,0.10797975345654266,0.10810794408723257,0.00012819063068990333,-0.20913650174666965,-0.22948297307853782,0.020346471331868177,1.350457764207584,1.5887738701822474,0.23831610597466346,93,13
fixed_beta_0.875,0.875,-0.1839305848240231,0.13620741211983306,29,4,True,0.10797975345654266,0.10806056390908839,8.081045254572372e-05,-0.20913650174666965,-0.22450466716465012,0.015368165417980473,1.350457764207584,1.5433807735880574,0.19292300938047346,93,13
fixed_beta_0.900,0.9,-0.1488139493944958,0.13649729758421608,29,4,True,0.10797975345654266,0.10802032978867485,4.057633213218337e-05,-0.20913650174666965,-0.21949825713180615,0.010361755385136506,1.350457764207584,1.500508846612267,0.150051082404683,93,13
fixed_beta_0.925,0.925,-0.11386195668572308,0.13679427433820673,29,4,True,0.10797975345654266,0.10798704165391435,7.288197371682625e-06,-0.20913650174666965,-0.21446010132762983,0.005323599580960181,1.350457764207584,1.4599541145716404,0.10949635036405647,93,13
fixed_beta_0.950,0.95,-0.07907837634303762,0.13709763319824061,29,4,True,0.10797975345654266,0.10796049500021071,-1.9258456331952556e-05,-0.20913650174666965,-0.2093851872853627,0.00024868553869306087,1.350457764207584,1.4215346794645336,0.0710769152569497,93,13
fixed_beta_0.975,0.975,-0.044468215964058026,0.13740671124249773,29,4,True,0.10797975345654266,0.10794048212626052,-3.927133028214236e-05,-0.20913650174666965,-0.20426725156419379,-0.004869250182475859,1.350457764207584,1.385084885836085,0.03462712162850101,93,13
fixed_beta_1.000,1.0,-0.010037460980370658,0.13772089183453468,29,4,True,0.10797975345654266,0.10792679394418038,-5.29595123622828e-05,-0.20913650174666965,-0.19909904076629903,-0.010037460980370616,1.350457764207584,1.3504575995790686,-1.6462851526455324e-07,93,13
fixed_beta_1.025,1.025,0.02420735466257113,0.13803960395681195,29,4,True,0.10797975345654266,0.10791922244738526,-6.053100915739962e-05,-0.20913650174666965,-0.19387274174818592,-0.015263759998483728,1.350457764207584,1.3175198495832314,-0.03293791462435247,93,13
fixed_beta_0.800,0.8,-0.30820214801911927,0.12303108764828416,43,0,True,0.1268474565242424,0.12890221605008806,0.002054759525845662,0.21400210413475695,0.18349468114173673,-0.030507422993020228,1.8855763638069252,2.3569705579037397,0.4713941940968145,98,18
fixed_beta_0.825,0.825,-0.27433040999833985,0.1230214644408767,43,0,True,0.1268474565242424,0.12867990680781852,0.0018324502835761203,0.21400210413475695,0.19237945503693277,-0.021622649097824187,1.8855763638069252,2.2855465876675716,0.3999702238606464,98,18
