candidate,gamma,seed,outer_fold,alpha_brier,beta_brier,beta_effective,ipcw_brier_raw,ipcw_brier_candidate,delta_ipcw_brier,citl_raw,citl_candidate,abs_citl_error_deterioration,slope_raw,slope_candidate,abs_slope_error_deterioration,n_evaluable,events_evaluable
brier_full_shrinkage_g1.00,1.0,43,0,-0.26523993944955676,0.8317351829573855,0.8317351829573855,0.1268474565242424,0.12862217264301168,0.0017747161187692817,0.21400200037205727,0.19478687024780023,-0.019215130124257046,1.8855948079634588,2.266992490403639,0.38139768244018035,98,18
brier_full_shrinkage_g0.10,0.1,43,1,-0.12515319948121678,0.8752870595177008,0.9875287059517701,0.12007731169487006,0.12011786457754306,4.055288267300339e-05,0.0187735695620568,0.012079595493301917,-0.006693974068754884,0.8430658066018756,0.8538419129179887,-0.010776106316113143,95,16
brier_full_shrinkage_g0.25,0.25,43,1,-0.12515319948121678,0.8752870595177008,0.9688217648794252,0.12007731169487006,0.12018432047930497,0.00010700878443491157,0.0187735695620568,0.0019681949123099905,-0.01680537464974681,0.8430658066018756,0.8703270820712181,-0.02726127546934254,95,16
brier_full_shrinkage_g0.50,0.5,43,1,-0.12515319948121678,0.8752870595177008,0.9376435297588503,0.12007731169487006,0.12031073199454483,0.00023342029967476918,0.0187735695620568,-0.015076177766513656,-0.0036973917955431448,0.8430658066018756,0.8995354697533746,-0.05646966315149904,95,16
brier_full_shrinkage_g0.75,0.75,43,1,-0.12515319948121678,0.8752870595177008,0.9064652946382756,0.12007731169487006,0.12045781177314079,0.00038050007827072907,0.0187735695620568,-0.032368822978878574,0.013595253416821773,0.8430658066018756,0.9298397852433905,-0.08677397864151493,95,16
brier_full_shrinkage_g1.00,1.0,43,1,-0.12515319948121678,0.8752870595177008,0.8752870595177008,0.12007731169487006,0.1206269097491306,0.0005495980542605389,0.0187735695620568,-0.04991810550714748,0.03114453594509068,0.8430658066018756,0.9629168384930056,-0.11985103189113,95,16
brier_full_shrinkage_g0.10,0.1,43,2,-0.04465343901089276,0.9689470899416688,0.9968947089941669,0.13586334823545354,0.135852229968887,-1.1118266566551016e-05,0.1619421749952705,0.16141258749225132,-0.0005295875030191799,1.064629443592657,1.0679538250804346,0.0033243814877774724,102,19
brier_full_shrinkage_g0.25,0.25,43,2,-0.04465343901089276,0.9689470899416688,0.9922367724854172,0.13586334823545354,0.13583580058086359,-2.754765458995445e-05,0.1619421749952705,0.1606146066229906,-0.0013275683722799025,1.064629443592657,1.0729775345345554,0.008348090941898256,102,19
brier_full_shrinkage_g0.50,0.5,43,2,-0.04465343901089276,0.9689470899416688,0.9844735449708344,0.13586334823545354,0.1358090845237058,-5.4263711747742915e-05,0.1619421749952705,0.15927500163262057,-0.0026671733626499328,1.064629443592657,1.0814502082759314,0.016820764683274314,102,19
brier_full_shrinkage_g0.75,0.75,43,2,-0.04465343901089276,0.9689470899416688,0.9767103174562516,0.13586334823545354,0.13578320925687437,-8.013897857916952e-05,0.1619421749952705,0.1579232888633992,-0.004018886131871291,1.064629443592657,1.0900495164839434,0.02542007289128634,102,19
brier_full_shrinkage_g1.00,1.0,43,2,-0.04465343901089276,0.9689470899416688,0.9689470899416688,0.13586334823545354,0.13575818400649364,-0.00010516422895989752,0.1619421749952705,0.15655939701954014,-0.005382777975730363,1.064629443592657,1.098778428025228,0.03414898443257086,102,19
