study,seed,subgroup_variable,subgroup,model,parent_n,coverage,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk
HANCOCK,29,sex,0,B2,91,1.0,91.0,28.0,88.9593227647629,0.14134533428831464,0.6201157742402316,0.6520199735218379,0.6795506110294908,0.3342308106389265,2.340405596222991,0.13782593418620745
HANCOCK,29,sex,0,B6,91,1.0,91.0,28.0,88.9593227647629,0.11785187310716567,0.711287988422576,0.816565514411086,0.8451857659058234,0.3402131243834787,3.5472725481760525,0.14540143667010394
HANCOCK,29,sex,0,B7_full_equal_weight_90,91,0.9120879120879121,83.0,26.0,83.08706339641905,0.13275210244819494,0.6267482517482518,0.7207636486558561,0.7460711815345531,0.38151519989014887,2.6849154936369377,0.124213237146671
HANCOCK,29,sex,1,B2,31,1.0,31.0,10.0,32.3717589111779,0.15976977358623312,0.6767676767676768,0.6863155878573036,0.7040014910368972,0.44426358267458677,3.2120847525439475,0.13688883320100534
HANCOCK,29,sex,1,B6,31,1.0,31.0,10.0,32.3717589111779,0.16177487971073465,0.6212121212121212,0.5562213397832595,0.5459537329798867,0.4736326730378172,0.9635179619888322,0.13161314929197293
HANCOCK,29,sex,1,B7_full_equal_weight_90,31,0.8709677419354839,27.0,6.0,28.140292113983293,0.07806258282875664,0.7528089887640449,0.6166795330637442,0.5736711397285402,-0.5856865541110411,0.12063442127701678,0.12423141477441361
HANCOCK,29,age_group,<65,B2,73,1.0,73.0,24.0,75.43917997029078,0.15034343144657633,0.6284860557768924,0.6651827272918014,0.6859327707708914,0.424743223276966,2.6965168401427424,0.1270256045074011
HANCOCK,29,age_group,<65,B6,73,1.0,73.0,24.0,75.43917997029078,0.1280324626738846,0.6772908366533864,0.7458069344348413,0.7762314506750884,0.39048659955005816,2.8879725961466884,0.13996832379381563
HANCOCK,29,age_group,<65,B7_full_equal_weight_90,73,0.8904109589041096,65.0,20.0,67.51387860000513,0.11824232837629445,0.618978102189781,0.6929181079368328,0.7052095065175302,0.21674000160545726,2.655211705019125,0.11500292942574086
HANCOCK,29,age_group,>=65,B2,49,1.0,49.0,14.0,45.89190170565001,0.13959628379203648,0.675,0.7128223588832905,0.7649103663585478,0.27420009141355417,3.82534893898628,0.15332336145175027
HANCOCK,29,age_group,>=65,B6,49,1.0,49.0,14.0,45.89190170565001,0.130472896910026,0.66,0.7222379344594879,0.7410039286830216,0.35703436772432984,2.0525212956025882,0.1447724638384097
HANCOCK,29,age_group,>=65,B7_full_equal_weight_90,49,0.9183673469387755,45.0,12.0,43.71347691039723,0.12089695322483264,0.5980392156862745,0.6539550947702004,0.6636537503393325,0.14422441180376833,1.4810074089366148,0.13752792154243781
HANCOCK,29,site_group,other,B2,122,1.0,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987
HANCOCK,29,site_group,other,B6,122,1.0,122.0,38.0,121.33108167594078,0.12901263708020372,0.6791184161374673,0.7455529585158549,0.7736658467381642,0.3773164848729753,2.510253846672697,0.14189785545107064
HANCOCK,29,site_group,other,B7_full_equal_weight_90,122,0.9016393442622951,110.0,32.0,111.22735551040233,0.11932831126887827,0.628586332811685,0.6955424950164915,0.7119067984015395,0.18667851467446714,1.9237680037218206,0.12421769892802599
HANCOCK,29,stage_group,unknown,B2,122,1.0,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987
HANCOCK,29,stage_group,unknown,B6,122,1.0,122.0,38.0,121.33108167594078,0.12901263708020372,0.6791184161374673,0.7455529585158549,0.7736658467381642,0.3773164848729753,2.510253846672697,0.14189785545107064
HANCOCK,29,stage_group,unknown,B7_full_equal_weight_90,122,0.9016393442622951,110.0,32.0,111.22735551040233,0.11932831126887827,0.628586332811685,0.6955424950164915,0.7119067984015395,0.18667851467446714,1.9237680037218206,0.12421769892802599
HANCOCK,29,hpv_group,unknown,B2,122,1.0,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987
HANCOCK,29,hpv_group,unknown,B6,122,1.0,122.0,38.0,121.33108167594078,0.12901263708020372,0.6791184161374673,0.7455529585158549,0.7736658467381642,0.3773164848729753,2.510253846672697,0.14189785545107064
