study,seed,scenario,model,gate_variant,profile,coverage,n,events,ipcw_evaluable_weight,ipcw_brier,harrell_c,uno_c,auc_horizon,calibration_in_the_large,calibration_slope,mean_predicted_risk,b2_subset_ipcw_brier,b6_subset_ipcw_brier
HANCOCK,29,oropharynx_targeted_tma_dropout,B7,uncertainty_only,100,1.0,122.0,38.0,121.33108167594078,0.12901263708020372,0.6791184161374673,0.7455529585158549,0.7736658467381642,0.3773164848729753,2.510253846672697,0.14189785545107064,0.14602695410991687,0.12901263708020372
HANCOCK,29,oropharynx_targeted_tma_dropout,B7,uncertainty_only,90,0.9016393442622951,110.0,31.0,109.74866030637048,0.10983311235170874,0.6290149892933619,0.6886648669580527,0.6968159779778066,0.1146447260988187,1.8651792804881582,0.11871116986441287,0.11218077934189863,0.09457640161190863
HANCOCK,29,oropharynx_targeted_tma_dropout,B7,uncertainty_only,80,0.8032786885245902,98.0,28.0,98.80650945475632,0.11566875395454351,0.5940257976917854,0.6620818328486111,0.6635459424835561,0.18656056322787834,1.591642953005155,0.11450414254512686,0.11589536051095872,0.09969917252786999
HANCOCK,29,oropharynx_targeted_tma_dropout,B7,full_equal_weight,100,1.0,122.0,38.0,121.33108167594078,0.12901263708020372,0.6791184161374673,0.7455529585158549,0.7736658467381642,0.3773164848729753,2.510253846672697,0.14189785545107064,0.14602695410991687,0.12901263708020372
HANCOCK,29,oropharynx_targeted_tma_dropout,B7,full_equal_weight,90,0.9016393442622951,110.0,32.0,111.22735551040233,0.11891363656333562,0.6484089723526343,0.7181832531993301,0.728852462399209,0.18706107610115089,2.062109900008737,0.12431622235260915,0.12004185909198678,0.10444471212887547
HANCOCK,29,oropharynx_targeted_tma_dropout,B7,full_equal_weight,80,0.8032786885245902,98.0,28.0,98.8755275527463,0.11552433950579798,0.6192722371967655,0.6959212419149149,0.7010316394982864,0.17744650082084953,1.6327172581684442,0.11845563927894026,0.11552081633580108,0.10430603347397129
HANCOCK,29,oropharynx_targeted_tma_dropout,B7,full_learned_nonnegative,100,1.0,122.0,38.0,121.33108167594078,0.12901263708020372,0.6791184161374673,0.7455529585158549,0.7736658467381642,0.3773164848729753,2.510253846672697,0.14189785545107064,0.14602695410991687,0.12901263708020372
HANCOCK,29,oropharynx_targeted_tma_dropout,B7,full_learned_nonnegative,90,0.9016393442622951,110.0,32.0,111.32222633952101,0.11603441659522239,0.6511262441068623,0.7388927207312952,0.7651541817928361,0.17201295548698567,2.6709178005673,0.12496487970979485,0.12067865321142358,0.10425464830600183
HANCOCK,29,oropharynx_targeted_tma_dropout,B7,full_learned_nonnegative,80,0.8032786885245902,98.0,24.0,98.10185740920528,0.09185511825621678,0.6141533277169334,0.6438836630020548,0.6474569943156346,-0.12956563735758822,1.154312805679286,0.1167676669029476,0.09223729046539321,0.08583017588952158
HANCOCK,43,clean,B2,none,full,1.0,122.0,38.0,121.33108167594078,0.14602695410991687,0.6327979081060889,0.6596807967156807,0.690132279155643,0.36438918326351993,2.6173690173520994,0.1375878183620987,,
HANCOCK,43,clean,B3,none,full,1.0,122.0,38.0,121.33108167594078,0.14081457663385272,0.6473664549869257,0.6681492265190128,0.6982405679157264,0.3752240796658826,1.4440964932990268,0.1400396498825557,,
HANCOCK,43,clean,B4,none,full,1.0,122.0,38.0,121.33108167594078,0.1292413664339719,0.6305565932013448,0.6881443373855551,0.7017545451090851,0.36540496791566307,1.9631472422651763,0.1426940476072896,,
HANCOCK,43,clean,B5,none,full,1.0,122.0,38.0,121.33108167594078,0.12758256695847323,0.6948076204706761,0.7594409222124383,0.7872786501162948,0.36245565346604275,2.421428292211717,0.14414376102975188,,
HANCOCK,43,clean,B6,none,full,1.0,122.0,38.0,121.33108167594078,0.12898274231663495,0.6750093388121031,0.7412224937282743,0.7688067865264986,0.3790572111752244,2.467681274063803,0.14164852063969172,,
HANCOCK,43,clean,M0,none,full,1.0,122.0,38.0,121.33108167594078,0.14975731069388704,0.613746731415764,0.6564709233564769,0.6685501725522557,0.36121460687925416,17.677787531320302,0.13491842490673261,,
HANCOCK,43,clean,B7,ood_only,100,1.0,122.0,38.0,121.33108167594078,0.12898274231663495,0.6750093388121031,0.7412224937282743,0.7688067865264986,0.3790572111752244,2.467681274063803,0.14164852063969172,0.14602695410991687,0.12898274231663495
HANCOCK,43,clean,B7,ood_only,90,0.9016393442622951,110.0,33.0,108.32042808439553,0.13507014007270293,0.6794807788317524,0.726821675010604,0.745036795430978,0.38861971201011086,2.4058232012720753,0.13015493794640798,0.14134650691015552,0.12348683267978296
HANCOCK,43,clean,B7,ood_only,80,0.8032786885245902,98.0,25.0,96.64965492157674,0.12348908390333843,0.6964951528709918,0.699060060748025,0.7203681179565689,0.24435799663484223,2.4809360636820585,0.12890579710347924,0.12466573476304875,0.11311302723761638
HANCOCK,43,clean,B7,uncertainty_only,100,1.0,122.0,38.0,121.33108167594078,0.12898274231663495,0.6750093388121031,0.7412224937282743,0.7688067865264986,0.3790572111752244,2.467681274063803,0.14164852063969172,0.14602695410991687,0.12898274231663495
HANCOCK,43,clean,B7,uncertainty_only,90,0.9016393442622951,110.0,31.0,109.84086602199089,0.11745666555345227,0.6406670252824099,0.7142354656161252,0.7220304294918063,0.22117927804230886,2.566259490292373,0.11835766603200884,0.11991152550288653,0.10193808414230936
HANCOCK,43,clean,B7,uncertainty_only,80,0.8032786885245902,98.0,26.0,100.12990950312584,0.10776462062761871,0.5916083916083916,0.6467812220250457,0.6404742312857599,0.08476654886824218,1.3358924527404508,0.11283451961446654,0.1077334301228517,0.09416635775184612
HANCOCK,43,clean,B7,full_equal_weight,100,1.0,122.0,38.0,121.33108167594078,0.12898274231663495,0.6750093388121031,0.7412224937282743,0.7688067865264986,0.3790572111752244,2.467681274063803,0.14164852063969172,0.14602695410991687,0.12898274231663495
HANCOCK,43,clean,B7,full_equal_weight,90,0.9016393442622951,110.0,30.0,108.56355670849904,0.1110004491909056,0.6288888888888889,0.6787212106215781,0.6758883898366532,0.11092098867760242,1.4407449705418485,0.12303351303866567,0.11214668203690627,0.09788720287429464
HANCOCK,43,clean,B7,full_equal_weight,80,0.8032786885245902,98.0,28.0,98.8755275527463,0.11483022344074031,0.6262694651320244,0.7071760147328888,0.7055720933493125,0.17740174864541047,1.876026787900758,0.11849685117136895,0.11525144498934091,0.10407088477319047
